ora,temperatura,precipitazione,vento_velocita,vento_direzione,umidita,pressione,visibilita
00:00,8.5,0.0,3.2,180,75,1015.2,10000
01:00,8.2,0.0,3.5,185,77,1015.1,10000
02:00,7.8,0.0,3.1,190,79,1015.0,10000
03:00,7.5,0.0,2.8,195,81,1014.9,10000
04:00,7.2,0.0,2.5,200,83,1014.8,9500
05:00,7.0,0.2,2.7,205,85,1014.7,8000
06:00,6.8,0.5,3.0,210,87,1014.6,6000
07:00,7.0,0.8,3.4,210,88,1014.5,5000
08:00,7.5,0.3,3.8,215,86,1014.6,7000
09:00,8.5,0.0,4.2,220,82,1014.8,9000
10:00,10.2,0.0,4.5,225,75,1015.0,10000
11:00,11.8,0.0,5.1,230,68,1015.2,10000
12:00,13.5,0.0,5.8,235,62,1015.3,10000
13:00,14.2,0.0,6.2,240,58,1015.4,10000
14:00,14.8,0.0,6.5,240,55,1015.5,10000
15:00,14.5,0.0,6.8,245,56,1015.4,10000
16:00,13.8,0.0,6.3,250,60,1015.3,10000
17:00,12.5,0.0,5.5,255,65,1015.2,9500
18:00,11.2,0.0,4.8,260,70,1015.1,9000
19:00,10.5,0.0,4.2,265,73,1015.0,8500
20:00,9.8,0.0,3.8,270,76,1014.9,8000
21:00,9.2,0.0,3.5,275,78,1014.8,7500
22:00,8.8,0.0,3.2,280,80,1014.7,7000
23:00,8.5,0.0,3.0,285,81,1014.6,6500
