id,nome,provincia,comune,quota,lat,lon
GE001,ALPE GORRETO,GE,ALPE,,,
GE002,ALPE VOBBIA,GE,ALPE,,,
GE003,AMBORZASCO,GE,AMBORZASCO,,,
GE004,ARENZANO,GE,ARENZANO,,,
GE005,ARENZANO-PORTO,GE,ARENZANO-PORTO,,,
GE006,BARBAGELATA,GE,BARBAGELATA,,,
GE007,BARGAGLI,GE,BARGAGLI,,,
GE008,BARGONE,GE,BARGONE,,,
GE009,BAVARI,GE,BAVARI,,,
GE010,BORZONE,GE,BORZONE,,,
GE011,BRUGNETO DIGA,GE,BRUGNETO,,,
GE012,BUSALLA,GE,BUSALLA,,,
GE013,CABANNE,GE,CABANNE,,,
GE014,CAMINATA,GE,CAMINATA,,,
GE015,CAMOGLI,GE,CAMOGLI,,,
GE016,CAMPO LIGURE,GE,CAMPO,,,
GE017,CARASCO,GE,CARASCO,,,
GE018,CASSAGNA,GE,CASSAGNA,,,
GE019,CAVI DI LAVAGNA,GE,CAVI,,,
GE020,CHIAVARI,GE,CHIAVARI,,,
GE021,CHIAVARI - CAPERANA,GE,CHIAVARI,,,
GE022,CICHERO,GE,CICHERO,,,
GE023,COLONIA ARNALDI,GE,COLONIA,,,
GE024,CRETO,GE,CRETO,,,
GE025,CROCE ORERO,GE,CROCE,,,
GE026,CROCEFIESCHI - SANTUARIO,GE,CROCEFIESCHI,,,
GE027,CROCETTA DI ORERO,GE,CROCETTA,,,
GE028,DAVAGNA,GE,DAVAGNA,,,
GE029,DIGA VAL NOCI,GE,DIGA,,,
GE030,FALLAROSA,GE,FALLAROSA,,,
GE031,FIORINO,GE,FIORINO,,,
GE032,FONTANA FRESCA,GE,FONTANA,,,
GE033,GENOVA - BOLZANETO,GE,GENOVA,,,
GE034,GENOVA - BORGO INCROCIATI,GE,GENOVA,,,
GE035,GENOVA - CASTELLACCIO,GE,GENOVA,,,
GE036,GENOVA - CENTRO FUNZIONALE,GE,GENOVA,,,
GE037,GENOVA - CERTOSA,GE,GENOVA,,,
GE038,GENOVA - DIPARTIMENTO DI FISICA,GE,GENOVA,,,
GE039,GENOVA - FEREGGIANO,GE,GENOVA,,,
GE040,GENOVA - FIRPO,GE,GENOVA,,,
GE041,GENOVA - FIUMARA,GE,GENOVA,,,
GE042,GENOVA - GAVETTE,GE,GENOVA,,,
GE043,GENOVA - GEIRATO,GE,GENOVA,,,
GE044,GENOVA - GRANARA,GE,GENOVA,,,
GE045,GENOVA - MOLASSANA,GE,GENOVA,,,
GE046,GENOVA - PEGLI,GE,GENOVA,,,
